file_path,is_file_exist
C:/xampp/htdocs/file-checker/house/bedroom,TRUE
C:/xampp/htdocs/file-checker/house/bedroom/bed.txt,TRUE
C:/xampp/htdocs/file-checker/house/bedroom/closet.txt,TRUE
C:/xampp/htdocs/file-checker/house/door.txt,TRUE
C:/xampp/htdocs/file-checker/house/garage,TRUE
C:/xampp/htdocs/file-checker/house/garage/car,TRUE
C:/xampp/htdocs/file-checker/house/kitchen,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/freezer,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/freezer/frozen_pea.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/freezer/ice_cream.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/fridge,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/fridge/beer.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/fridge/orange_juice.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/knife.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/microwave.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/stove.txt,TRUE
C:/xampp/htdocs/file-checker/house/kitchen/rocketlauncher.txt,FALSE
C:/xampp/htdocs/file-checker/house/surgeryroom,FALSE
